iter	Passed	Remaining
574	48129	35574
575	48197	35479
576	48266	35384
577	48341	35294
578	48432	35216
579	48515	35132
580	48602	35050
581	48678	34961
582	48752	34870
583	48835	34786
584	48901	34690
585	48979	34603
586	49055	34514
587	49588	491758588	49589	492558589	49590	49347	590	49591	49421	591	49592	49506	592	49593	49597	593	49594	49684	594	49595	49771	595	49596	49856	596	49597	49934	597	49598	50014	598	50599	50109	599	50600	50195	600	50601	50265	601	50602	50337	602	50603	50420	603	50604	50501	604	50605	50585	605	50606	50673	606	50607	50762	607	50608	50846	608	50609	50933	609	50610	51017	610	51611	51094	611	51612	51175	612	51613	51249	613	51614	51334	614	51615	51423	615	51616	51503	616	51617	51593	617	51618	51678	618	51619	51754	619	51620	51828	620	51621	51910	621	51622	51981	622	51623	52067	623	52624	52154	624	52625	52245	625	52626	52327	626	52627	52412	627	52628	52504	628	52629	52593	629	52630	52664	630	52631	52745	631	52632	52834	632	52633	52913	633	52634	53008	634	52635	53085	635	53636	53165	636	53637	53242	637	53638	53340	638	53639	53419	639	53640	53494	640	53641	53577	641	53642	53672	642	53643	53754	643	53644	53833	644	53645	53908	645	53646	53988	646	53647	54071	647	54648	54157	648	54649	54255	29214
650	54329	29125
651	54400	651	54652	54484	28952
653	54570	28870
654	54659	28790
655	54726	655	54656	54815	656	54657	54897	657	54658	54997	28458
659	55067	659	55660	55147	660	55661	55240	661	55662	55310	662	55663	55393	663	55664	55477	664	55665	55559	665	55666	55649	666	55667	55733	27699
668	55820	27617
669	55900	27533
670	55983	27449
671	56068	27366
672	56159	27287
673	56238	27201
674	56324	27119
675	56402	27032
676	56473	26943
677	56563	26863
678	56641	26777
679	56726	26694
680	56805	26609
681	56890	26526
682	56978	26445
683	57057	26359
684	57143	26277
685	57227	26194
686	57305	26108
687	57386	26024
688	57468	25939
689	57545	25853
690	57625	25768
691	57706	25684
692	57802	25606
693	57873	25517
694	57954	25433
695	58041	25351
696	58126	25268
697	58216	25188
698	58301	25105
699	58386	25022
700	58471	24939
701	58550	24854
702	58631	24770
703	58712	24686
704	58794	24601
705	58880	24519
706	58965	24437
707	59047	24352
708	59124	24266
709	59207	24183
710	59291	24100
711	59364	24012
712	59440	23926
713	59519	23841
714	59602	23757
715	59681	23672
716	59770	23591
717	59852	23507
718	59931	23422
719	60012	23338
720	60093	23254
721	60173	23169
722	60254	23084
723	60337	23001
724	60417	22916
725	60499	22832
726	60567	22743
727	60644	22658
728	60721	22572
729	60808	22490
730	60892	22407
731	60965	731	60732	61054	732	61733	61132	733	61734	61212	734	61735	61284	735	61736	61374	736	61737	61459	737	61738	61533	738	61739	61615	739	61740	61706	740	61741	61781	741	61742	61859	742	61743	61963	21320
744	62045	21237
745	62134	21155
746	62229	21076
747	62307	20991
748	62399	20911
749	62476	20825
750	62539	20735
751	62625	20653
752	62717	20572
753	62801	20489
754	62874	20402
755	62954	20318
756	63044	20237
757	63124	20153
758	63199	20067
759	63286	19985
760	63372	19902
761	63449	19817
762	63532	19734
763	63611	19649
764	63681	764	63765	63762	765	63766	63851	766	63767	63922	767	63768	64016	768	64769	64114	19151
770	64203	19069
771	64290	18987
772	64363	18901
773	64443	18816
774	64523	774	64775	64617	18652
776	64691	18566
777	64768	18481
778	64858	18400
779	64938	18315
780	65024	18233
781	65097	781	65782	65172	782	65783	65256	783	65784	65338	784	65785	65431	785	65786	65516	786	65787	65613	787	65788	65705	788	65789	65779	789	65790	65864	790	65791	65943	791	65792	66021	792	66793	66109	793	66794	66193	794	66795	66281	795	66796	66359	796	66797	66462	797	66798	66543	798	66799	66622	799	66800	66707	800	66801	66787	801	66802	66860	802	66803	66951	803	67804	67041	804	67805	67123	805	67806	67216	806	67807	67313	15995
808	67395	808	67809	67470	809	67810	67564	15745
811	67657	15664
812	67749	15583
813	67836	15500
814	67919	814	67815	68020	15337
816	68106	15255
817	68192	15172
818	68276	15089
819	68367	15007
820	68463	14926
821	68557	14845
822	68639	14762
823	68719	14677
824	68807	14595
825	68911	14516
826	69002	14434
827	69076	14349
828	69167	14267
829	69257	14185
830	69342	14102
831	69434	14020
832	69518	13937
833	69623	13857
834	69713	13775
835	69795	13691
836	69875	13607
837	69963	13525
838	70038	13440
839	70120	13356
840	70193	13270
841	70284	13188
842	70377	13107
843	70473	13025
844	70576	12945
845	70660	12862
846	70743	12778
847	70830	12696
848	70907	12611
849	70988	12527
850	71082	12445
851	71168	12362
852	71254	12279
853	71324	12193
854	71399	12108
855	71480	12024
856	71563	11941
857	71650	11858
858	71727	11773
859	71812	11690
860	71888	11605
861	71978	11523
862	72074	11441
863	72157	11358
864	72246	11275
865	72337	11193
866	72420	11109
867	72506	11026
868	72582	10941
869	72667	10858
870	72739	10773
871	72823	10689
872	72898	10604
873	72972	10520
874	73044	10434
875	73142	10353
876	73222	10269
877	73296	10184
878	73384	10101
879	73467	10018
880	73534	9932
881	73607	9847
882	73691	9764
883	73777	9681
884	73851	9596
885	73948	9514
886	74027	9430
887	74124	9348
888	74202	9264
889	74284	9181
890	74366	9097
891	74458	9015
892	74544	8931
893	74624	8848
894	74709	8764
895	74797	8681
896	74871	8597
897	74951	8513
898	75030	8429
899	75117	8346
900	75207	8263
901	75287	8179
902	75385	8097
903	75459	8013
904	75535	7929
905	75621	7845
906	75691	7761
907	75784	7678
908	75868	7595
909	75948	7511
910	76020	7426
911	76106	7343
912	76191	7260
913	76284	7177
914	76392	7096
915	76474	7012
916	76562	6929
917	76644	6846
918	76720	6762
919	76803	6678
920	76888	6595
921	76974	6511
922	77053	6428
923	77130	6344
924	77199	6259
925	77288	6176
926	77355	6091
927	77435	6007
928	77512	5924
929	77606	5841
930	77683	5757
931	77764	5673
932	77841	5589
933	77929	5506
934	78012	5423
935	78099	5340
936	78175	5256
937	78252	5172
938	78340	5089
939	78420	5005
940	78493	4921
941	78584	4838
942	78653	4754
943	78748	4671
944	78829	4587
945	78910	4504
946	78994	4421
947	79069	4337
948	79152	4253
949	79228	4169
950	79317	4086
951	79403	4003
952	79482	3919
953	79561	3836
954	79661	3753
955	79740	3670
956	79810	3586
957	79901	3502
958	79983	3419
959	80082	3336
960	80171	3253
961	80253	3170
962	80335	3086
963	80412	3002
964	80492	2919
965	80585	2836
966	80659	2752
967	80731	2668
968	80798	2584
969	80877	2501
970	80951	2417
971	81030	2334
972	81107	2250
973	81189	2167
974	81275	2083
975	81357	2000
976	81441	1917
977	81508	1833
978	81595	1750
979	81664	1666
980	81748	1583
981	81833	1499
982	81903	1416
983	81986	1333
984	82064	1249
985	82142	1166
986	82216	1082
987	82280	999
988	82347	915
989	82405	832
990	82461	748
991	82500	665
992	82536	581
993	82597	498
994	82638	415
995	82672	332
996	82711	248
997	82751	165
998	82779	82
999	82806	0
9	82871	0

